date,CO,NO2,O3,SO2
2024-01-01,186.14421,12.56004,48.21155,4.96861
2024-01-02,178.87845,8.08899,67.440025,2.3307762
2024-01-03,201.61903,16.718803,42.17644,4.701276
2024-01-04,204.18228,13.961087,47.18207,5.317527
2024-01-05,197.00906,13.814092,58.907738,5.3276777
2024-01-06,200.11673,15.005919,54.003193,5.3112216
2024-01-07,197.49055,15.114094,69.77033,4.3506703
2024-01-08,194.74939,14.479815,58.594967,5.9294057
2024-01-09,183.93474,14.698116,52.618393,6.1370034
2024-01-10,183.303,15.589875,46.42024,5.6431675
2024-01-11,173.3435,8.430174,71.88202,4.1389847
2024-01-12,217.16434,29.377914,35.05197,8.624649
2024-01-13,201.4796,19.084526,51.58987,6.4540167
2024-01-14,206.37514,16.263597,48.006573,7.0537977
2024-01-15,253.03244,24.15812,18.796196,11.470805
2024-01-16,243.78487,22.803387,12.72238,8.791219
2024-01-17,221.1038,21.056993,42.630592,8.607299
2024-01-18,184.04727,9.700029,76.24325,4.6577926
2024-01-19,199.06934,9.9753685,60.613163,5.756781
2024-01-20,233.78223,26.493534,26.34856,9.131236
2024-01-21,208.96623,8.55333,57.17564,2.8957615
2024-01-22,200.87457,7.265284,67.7738,3.8340783
2024-01-23,188.17557,7.59569,71.67579,4.0833473
2024-01-24,189.95529,12.9728,63.79282,6.0295253
2024-01-25,193.29489,15.46891,47.232468,6.1078577
2024-01-26,187.34132,14.922963,48.39295,5.539986
2024-01-27,203.85986,13.187795,40.777027,5.4203877
2024-01-28,210.98221,8.46599,59.738224,4.923663
2024-01-29,189.64278,5.829373,71.829994,3.8813968
2024-01-30,218.5337,13.800405,49.72838,6.2552123
2024-01-31,280.77625,15.741821,25.330671,5.7463064
2024-02-01,201.93184,8.420857,69.70028,4.2731705
2024-02-02,174.2356,13.181648,76.536064,6.4067936
2024-02-03,195.1966,18.417255,53.813007,7.871908
2024-02-04,180.48747,17.854435,71.292435,8.738331
2024-02-05,196.23538,24.944,50.55551,10.004206
2024-02-06,222.33705,25.034325,25.171776,10.001091
2024-02-07,235.0137,21.325975,20.80067,9.301916
2024-02-08,263.51593,33.237217,20.97304,12.863026
2024-02-09,248.68,40.291035,31.184975,12.064629
2024-02-10,269.58777,39.93991,23.774998,11.74496
2024-02-11,242.75397,24.387817,25.952063,6.588746
2024-02-12,250.03874,16.007145,23.917118,5.7336555
2024-02-13,194.74216,7.347179,64.43037,3.1924136
2024-02-14,198.67212,10.816428,57.93921,3.3338623
2024-02-15,224.3262,15.608043,31.70907,4.457171
2024-02-16,216.51007,11.392118,39.321724,2.9945476
2024-02-17,201.93665,9.686439,47.253933,3.6224651
2024-02-18,170.19125,8.980367,73.40341,3.762845
2024-02-19,179.42168,11.013421,74.1167,4.338469
2024-02-20,182.20415,13.366508,62.683533,5.6805696
2024-02-21,195.1929,16.204681,43.85499,6.133625
2024-02-22,209.4216,12.251251,32.813404,4.816719
2024-02-23,196.67426,9.397678,46.113113,3.7027817
2024-02-24,200.15646,11.276598,50.386856,3.9510984
2024-02-25,185.27376,8.0650425,71.22736,3.5588038
2024-02-26,197.62093,15.928351,37.278496,5.2516856
2024-02-27,225.43617,18.895319,27.603428,5.0774403
2024-02-28,236.73581,25.324562,24.95571,6.7162495
2024-02-29,217.8217,19.305468,51.00368,7.333024
2024-03-01,185.45038,7.5658655,84.26817,3.4721968
2024-03-02,192.41028,8.059679,63.095566,2.9547405
2024-03-03,230.62491,16.669455,50.30668,3.5622487
2024-03-04,199.44954,14.1933,59.12096,4.6439824
2024-03-05,161.52953,4.5431542,88.67455,2.152087
2024-03-06,174.03528,10.534173,73.6975,4.255428
2024-03-07,190.72578,14.646203,53.4647,6.331645
2024-03-08,184.89111,14.364241,56.928715,5.809155
2024-03-09,173.0206,12.545002,75.41542,5.5745783
2024-03-10,191.1959,21.282845,53.2709,7.8866158
2024-03-11,185.33023,16.476902,64.848236,5.8269143
2024-03-12,182.17166,12.762162,77.33952,3.7579355
2024-03-13,192.69354,14.535786,70.55547,7.1459284
2024-03-14,209.01543,7.713743,65.81224,4.012104
2024-03-15,215.67838,8.736602,58.494225,2.9579055
2024-03-16,199.76086,10.921106,67.929756,6.2559805
2024-03-17,199.6923,16.558502,68.556335,7.1568727
2024-03-18,164.34125,5.1794405,96.1969,2.738702
2024-03-19,187.19681,12.40684,63.29329,5.376037
2024-03-20,218.85284,14.843306,46.2977,6.209291
2024-03-21,227.68425,11.321184,61.81049,6.403841
2024-03-22,225.03673,12.798536,60.49357,6.526143
2024-03-23,179.19336,10.2156515,77.035576,4.858426
2024-03-24,212.15,26.708225,68.58213,14.481241
2024-03-25,246.32828,37.30222,46.690582,18.770943
2024-03-26,253.00977,33.114414,51.193947,17.420551
2024-03-27,212.8948,29.062735,60.35788,10.732927
