,"('CO', 'CO')","('NO2', 'NO2')","('O3', 'O3')","('SO2', 'SO2')"
2023-01-01,179.54135,16.029367,39.57834,6.5857706
2023-01-02,169.26823,20.648178,44.812057,7.506959
2023-01-03,177.08429,16.97071,38.197033,6.706106
2023-01-04,186.42943,20.639622,24.018997,7.6045322
2023-01-05,169.61143,8.433432,38.931293,4.098499
2023-01-06,165.6099,14.227278,46.58569,4.059755
2023-01-07,163.53017,11.232763,53.24902,2.04252
2023-01-08,173.84865,9.915419,41.02701,3.501805
2023-01-09,185.45538,13.071227,30.529392,3.5902085
2023-01-10,171.80646,11.310752,42.570236,4.1002655
2023-01-11,171.38255,8.599863,42.26989,4.310376
2023-01-12,172.2673,9.105287,41.970955,4.2685924
2023-01-13,186.9616,11.648169,36.095547,5.222617
2023-01-14,189.97794,11.918436,35.616432,5.1817465
2023-01-15,168.03038,7.780612,52.494026,3.7633007
2023-01-16,170.58417,8.380891,52.696655,4.081558
2023-01-17,186.94643,12.326633,35.990093,5.392343
2023-01-18,191.7736,13.617577,45.670204,5.769475
2023-01-19,186.06386,11.589019,50.0473,4.864553
2023-01-20,201.45102,24.12889,29.482008,7.3538957
2023-01-21,181.36049,10.076813,47.29132,3.102122
2023-01-22,183.03323,12.687119,43.715004,4.1031938
2023-01-23,198.71625,17.627943,33.20807,7.785411
2023-01-24,188.33778,7.4299145,57.954098,4.8117504
2023-01-25,191.24768,7.3768816,51.87645,4.5412903
2023-01-26,197.6135,15.879406,37.235966,7.058654
2023-01-27,186.94109,24.634598,26.224596,7.6612196
2023-01-28,183.57257,12.977122,46.870567,6.618429
2023-01-29,184.90376,10.548741,58.326504,6.021122
2023-01-30,178.48813,8.361068,54.443283,4.035409
2023-01-31,168.1401,11.776169,54.61411,5.799216
2023-02-01,203.55228,24.592747,38.000843,10.076418
2023-02-02,216.53365,26.691021,30.553457,11.025239
2023-02-03,244.31151,30.724133,9.948388,12.454985
2023-02-04,200.02753,13.542867,35.035297,5.1924644
2023-02-05,176.82776,9.804921,55.235313,4.0596
2023-02-06,193.57635,19.28075,40.529663,6.717802
2023-02-07,175.09998,10.667743,57.879128,4.4347615
2023-02-08,187.36209,6.66353,62.813515,4.077113
2023-02-09,194.2422,6.1989737,65.79859,3.587589
2023-02-10,174.0455,6.870825,75.86624,3.5739064
2023-02-11,181.54387,18.843578,58.708263,7.4403024
2023-02-12,176.73814,12.8362,61.298595,5.5665045
2023-02-13,155.57166,10.372154,69.930214,4.835446
2023-02-14,156.22266,8.735918,71.1849,3.5108569
2023-02-15,201.12238,20.888506,38.360416,6.3594337
2023-02-16,194.6282,15.111331,42.035645,4.973092
2023-02-17,170.89713,9.416878,49.619835,3.7502177
2023-02-18,182.62466,8.162172,51.93657,3.461924
2023-02-19,197.51917,15.573359,41.363472,5.702044
2023-02-20,217.40094,22.273596,30.659412,8.017008
2023-02-21,207.91013,12.800199,42.343502,5.7481976
2023-02-22,200.16798,14.919262,50.87242,6.712538
2023-02-23,211.29187,15.771665,58.30877,6.6285086
2023-02-24,285.32117,25.240173,33.171684,12.7345705
2023-02-25,243.30632,22.268147,33.74176,9.676567
2023-02-26,186.45235,8.186258,57.021347,4.012164
2023-02-27,185.94168,12.434353,64.21988,6.1002455
2023-02-28,148.57083,8.390449,90.69793,4.3215423
2023-03-01,155.37654,12.900262,85.15783,5.562946
2023-03-02,166.99387,18.147615,72.45818,8.038628
2023-03-03,173.61194,22.057549,63.58387,9.788026
2023-03-04,178.94109,21.909546,57.4446,9.461336
2023-03-05,243.39801,37.662083,30.945753,17.988796
2023-03-06,270.05432,37.850708,38.595345,19.240149
2023-03-07,310.00763,43.214302,26.646156,18.590912
2023-03-08,187.54059,15.937332,69.40478,7.93346
2023-03-09,205.5051,24.147058,47.534863,11.892689
2023-03-10,229.19499,38.913902,40.3927,14.244583
2023-03-11,192.27232,17.829863,58.19392,7.04364
2023-03-12,193.00407,16.992723,64.41535,9.110782
2023-03-13,176.29764,12.371993,91.20379,7.1843204
2023-03-14,165.61365,7.1781855,74.023445,2.858225
2023-03-15,181.40115,10.387032,72.79421,5.5565453
2023-03-16,183.05566,13.461276,81.63959,7.5916047
2023-03-17,170.48659,10.369198,92.47612,3.5784621
2023-03-18,164.94589,7.822241,92.788864,2.838652
2023-03-19,188.96252,12.443652,66.04234,6.148947
2023-03-20,253.6619,19.51392,44.963238,11.267323
2023-03-21,217.46967,22.747751,56.284954,10.112303
2023-03-22,190.98015,13.625803,73.82109,7.5073986
2023-03-23,178.7,9.596797,69.19274,4.8113947
2023-03-24,228.59874,29.189709,50.92182,13.669589
2023-03-25,176.05457,14.051456,69.663605,6.777789
2023-03-26,201.39268,23.727264,50.592136,10.325579
2023-03-27,182.67273,17.456667,52.361317,7.400793
2023-03-28,212.67613,27.020588,42.84035,13.747698
2023-03-29,184.0828,17.900812,51.723724,7.6533995
2023-03-30,195.15393,20.403446,67.58072,9.60595
2023-03-31,207.30096,22.504951,52.267727,10.817812
2023-04-01,185.88623,14.838556,60.99742,7.4218717
2023-04-02,175.42523,11.380022,76.91635,5.822159
2023-04-03,158.43561,4.946934,93.083275,2.9652827
2023-04-04,167.83842,9.402434,75.204445,5.2844133
2023-04-05,173.7547,7.7989697,54.448437,4.0376773
2023-04-06,162.5818,4.76742,71.145096,2.7102342
2023-04-07,145.11453,5.8499546,89.47992,2.4036582
2023-04-08,145.91702,9.096369,91.94893,2.6710346
2023-04-09,154.93254,7.082469,92.22774,3.3871725
2023-04-10,158.30531,6.5113273,90.13066,3.5066009
2023-04-11,163.58882,9.92183,87.84862,3.9217792
2023-04-12,185.08917,18.440006,82.04874,5.8967776
2023-04-13,149.82874,4.60828,86.84102,2.6977344
2023-04-14,178.97394,3.6121714,93.553734,2.2637124
2023-04-15,183.06256,4.3752007,89.308014,2.678868
2023-04-16,177.8737,6.0127516,83.28402,3.8205464
2023-04-17,253.66566,11.31399,94.28025,4.336763
2023-04-18,184.74426,9.065103,94.634094,3.2798014
2023-04-19,207.18637,5.0402246,85.57555,3.0461318
2023-04-20,162.73627,9.7254715,91.543686,3.9469876
2023-04-21,161.48318,14.499681,65.289536,7.583525
2023-04-22,173.16565,20.287285,59.9537,10.462708
2023-04-23,194.2026,24.910717,68.71645,14.09384
2023-04-24,303.17413,19.456413,72.47452,11.746534
2023-04-25,303.17517,22.003073,73.99702,12.532621
2023-04-26,240.59221,28.333439,63.1772,14.615439
2023-04-27,259.92923,23.732853,62.054955,15.134205
2023-04-28,161.2233,10.137764,94.30523,6.6233773
2023-04-29,158.64662,10.172199,87.554634,6.941393
2023-04-30,163.01744,10.110786,85.90777,6.00787
2023-05-01,156.78572,12.292558,89.260185,7.915536
2023-05-02,161.23096,6.826792,95.892136,4.8644605
2023-05-03,147.33287,6.245511,97.18917,3.9438806
2023-05-04,152.31021,8.325746,95.54797,6.03045
2023-05-05,145.13689,6.6261187,93.10218,4.4614325
2023-05-06,143.69408,7.043578,101.89208,3.9968092
2023-05-07,147.36757,9.708615,104.1592,4.4072504
2023-05-08,149.11035,4.0991855,115.816475,4.102404
2023-05-09,156.2286,4.7687755,121.88574,4.2990217
2023-05-10,158.423,5.2539487,123.78223,4.2311354
2023-05-11,155.23848,8.232377,119.03278,4.0646095
2023-05-12,157.36914,11.405184,108.40183,5.557912
2023-05-13,161.1187,9.3510895,98.4726,6.858057
2023-05-14,130.49414,5.3509426,91.466606,3.3042226
2023-05-15,135.94884,5.5102596,90.26309,2.8062139
2023-05-16,144.84941,5.8395185,86.726746,3.7205021
2023-05-17,150.5814,5.95445,87.63803,3.811831
2023-05-18,133.3579,5.567178,94.63889,4.613698
2023-05-19,135.34373,5.765257,95.66647,3.6420147
2023-05-20,147.19359,5.087004,107.49873,3.0877635
2023-05-21,148.52522,5.8487325,102.462845,2.916844
2023-05-22,153.63022,6.6781807,88.927086,3.7631993
2023-05-23,154.7177,5.993058,85.729485,3.8599777
2023-05-24,158.24806,7.8945866,94.40108,3.9500558
2023-05-25,175.41527,11.834514,89.19816,8.025373
2023-05-26,151.85216,9.8297,86.6552,6.676464
2023-05-27,135.74205,7.6476774,91.22304,4.7467265
2023-05-28,138.31091,7.478566,96.39025,5.208358
2023-05-29,145.56805,7.8458834,90.35585,5.9629354
2023-05-30,136.84515,8.836347,94.77606,5.7950897
2023-05-31,149.24437,11.607838,86.04023,7.926687
2023-06-01,134.78972,11.441252,81.84946,7.068513
2023-06-02,124.61416,7.854825,91.10646,5.043432
2023-06-03,132.32114,11.447351,83.84275,6.8414555
2023-06-04,144.60812,7.46185,81.05072,5.7704105
2023-06-05,141.84203,8.179195,77.551735,5.896249
2023-06-06,138.09085,6.9176674,87.65431,5.223816
2023-06-07,139.15942,7.681441,84.3958,4.747881
2023-06-08,142.35257,7.789422,92.47943,5.2760444
2023-06-09,131.93031,6.2995944,88.66213,3.2282329
2023-06-10,124.98833,4.0549016,88.37637,2.4675312
2023-06-11,128.1623,3.420804,101.97411,2.3100615
2023-06-12,132.97238,3.1393504,112.86699,2.8982232
2023-06-13,146.19508,5.0358043,99.767365,3.2590308
2023-06-14,163.38167,7.551759,103.917015,6.116481
2023-06-15,170.62978,6.9929447,106.62425,4.5948834
2023-06-16,183.07901,8.339718,102.73472,5.5831175
2023-06-17,183.00575,8.467009,73.14255,5.6083364
2023-06-18,142.95172,4.285506,79.58305,2.8259225
2023-06-19,145.67923,5.7231436,89.96432,3.6830711
2023-06-20,155.91864,13.597246,91.82857,6.8880396
2023-06-21,151.28687,7.03271,84.93644,4.653174
